"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"CAALFM_C101100WA",1158.63065950121,0.0038515988595278,0.0560192987366246,0.689971509902419,0.999708752221059
"CAALFM_C101110CA",3110.55274102276,-0.000777101709742918,0.0565485543949205,0.828034306859203,0.999708752221059
"CAALFM_C101130WA",908.794154261173,0.0104595471923817,0.0558025628458443,0.488142662612161,0.999708752221059
"CAALFM_C101140CA",1793.24461137021,0.00156064470043109,0.056525155745879,0.732547948361727,0.999708752221059
"CAALFM_C101150CA",1325.46623164568,-0.000735548873652355,0.056511180290824,0.856457867035473,0.999708752221059
"CAALFM_C101160CA",992.078229787,-0.000689330013023636,0.0565290775925385,0.857008618952295,0.999708752221059
"CAALFM_C101170CA",982.03883971702,-0.00164182462716554,0.0563900110124324,0.776328740034548,0.999708752221059
"CAALFM_C101180CA",57.4307830838091,-0.000942231151920285,0.0564283148621974,0.85567322842436,0.999708752221059
"CAALFM_C101190CA",1048.792509454,0.0005666394214598,0.0553783514883222,0.963771456405833,0.999708752221059
"CAALFM_C101200WA",671.350024300583,0.0124559248335773,0.0559612885265654,0.445952927086464,0.999708752221059
"CAALFM_C101210WA",1071.71281375727,0.00530624377866626,0.0555471051916754,0.673513771715566,0.999708752221059
"CAALFM_C101220CA",46.1881171950477,0.00242203690422306,0.0566659906944141,0.421884201996246,0.999708752221059
"CAALFM_C101240WA",497.98242021409,0.000345628313847864,0.0559388445539323,0.971756497438186,0.999708752221059
"CAALFM_C101250WA",3311.91739247659,0.00176404492180486,0.0558729727167369,0.856519191704025,0.999708752221059
"CAALFM_C101260CA",166.241002465878,0.00409103333087981,0.0558301743882028,0.70283735791238,0.999708752221059
"CAALFM_C101270WA",716.139527628113,0.00329190173313441,0.0559226530979329,0.770229771131568,0.999708752221059
"CAALFM_C101280CA",134.590520435642,-0.0072206870008663,0.0557729767088254,0.57203908172353,0.999708752221059
"CAALFM_C101290CA",385.525596985976,0.00197960402298099,0.0563130309619453,0.771387749623708,0.999708752221059
"CAALFM_C101300WA",3160.90591560618,0.0014493941018664,0.0558420508493815,0.885085955596384,0.999708752221059
"CAALFM_C101320WA",4746.19945238578,-0.00259120026749706,0.0554076023849528,0.826474498565228,0.999708752221059
"CAALFM_C101330CA",2293.88372696787,-0.00937452838846795,0.0565525844581409,0.414594435169406,0.999708752221059
"CAALFM_C101340CA",285.815533625544,0.000887944578677893,0.0563792929322992,0.877556313838948,0.999708752221059
"CAALFM_C101350CA",31720.5615066547,-0.000956015234336322,0.0564850497342769,0.828835266180611,0.999708752221059
"CAALFM_C101360CA",2963.37340004837,0.00218577713828255,0.0565458230868688,0.636711997011085,0.999708752221059
"CAALFM_C101370CA",28694.3624982096,0.00139154111709714,0.056464935644653,0.588614090513764,0.999708752221059
"CAALFM_C101380CA",1222.67364086831,-0.000406008865735353,0.0565953590871104,0.872984665546052,0.999708752221059
"CAALFM_C101390CA",1003.04819226921,0.00453290030531967,0.0551120358086302,0.747960418096043,0.999708752221059
"CAALFM_C101400CA",1411.94510989786,0.00313090656165452,0.055632385749129,0.782779540743942,0.999708752221059
"CAALFM_C101420CA",1088.81657230259,-0.000190401345262956,0.0543022902479822,0.979034084753707,0.999708752221059
"CAALFM_C101440CA",54.0526734606725,-0.00342834067015405,0.0566731614540821,0.400997647834939,0.999708752221059
"CAALFM_C101450WA",2727.43996688983,-0.00149606336108159,0.0562147479515896,0.818592028071873,0.999708752221059
"CAALFM_C101460WA",1032.16664851242,0.0137829918895386,0.0559180572162078,0.43115131374954,0.999708752221059
"CAALFM_C101470WA",3011.70384870222,-0.00115133112203686,0.0560862069476286,0.8887529361059,0.999708752221059
"CAALFM_C101480CA",67167.5138817758,-0.00588664930596735,0.056950902165476,0.791667583019106,0.999708752221059
"CAALFM_C101490WA",7202.14884646439,0.00272609163284402,0.0563481590333028,0.693065722509354,0.999708752221059
"CAALFM_C101510WA",40.3810529878777,0.00057899780566687,0.0565041693386067,0.89674854790423,0.999708752221059
"CAALFM_C101520CA",5658.01704801676,0.0117280865345539,0.0550026766720649,0.514216398759563,0.999708752221059
"CAALFM_C101530CA",8434.79979128767,-0.000543172679370569,0.0564991588725632,0.893319291831836,0.999708752221059
"CAALFM_C101540WA",1138.84096578217,0.00483447730795985,0.0563346803292859,0.566320243611947,0.999708752221059
"CAALFM_C101550WA",1056.17521027971,0.00688150212890801,0.0549552368061704,0.645849658497157,0.999708752221059
"CAALFM_C101560WA",2218.24467386613,0.00491173092398204,0.0551388391259978,0.717943156392088,0.999708752221059
"CAALFM_C101570CA",1783.87042027386,-0.00191757594043966,0.0561512188334765,0.80397626543931,0.999708752221059
"CAALFM_C101580WA",1862.69169386754,-0.00113756092891388,0.0564507699498999,0.817682714240838,0.999708752221059
"CAALFM_C101590CA",7032.52909870975,-0.000380718051360182,0.0538572329271473,0.979830087900679,0.999708752221059
"CAALFM_C101600WA",2389.27699933202,-0.000897646215265694,0.056508818085949,0.829363706177884,0.999708752221059
"CAALFM_C101610CA",147.105316339798,0.00303323870729103,0.0565721217388529,0.541060642717017,0.999708752221059
"CAALFM_C101620CA",366.998024601482,-0.00215177673048083,0.0560205873419216,0.824512771472427,0.999708752221059
"CAALFM_C101630WA",1069.28528508573,-0.0109587199666665,0.0562675280023616,0.435107854431382,0.999708752221059
"CAALFM_C101640WA",4730.54075043061,-0.00103699501074429,0.0564954776366464,0.812965859653382,0.999708752221059
"CAALFM_C101650WA",1748.44381739683,0.00131014684222762,0.0564753572492483,0.795159458016888,0.999708752221059
"CAALFM_C101670CA",663.002602346053,0.0166910761004166,0.0564719319768764,0.377752580097238,0.999708752221059
"CAALFM_C101680CA",1078.05598550544,-0.000178594021133802,0.0564860252711943,0.962163446887507,0.999708752221059
"CAALFM_C101690CA",24174.4066119317,-0.00317883933470781,0.0549458398050377,0.76492766524498,0.999708752221059
"CAALFM_C101700WA",1934.5391475822,0.00360603724689518,0.0558136336340459,0.726626190886579,0.999708752221059
"CAALFM_C101710WA",547.396602660991,0.00524975942709638,0.055319909253551,0.695573856461461,0.999708752221059
"CAALFM_C101720CA",1342.30025555448,-0.00362693356411257,0.0564356331421917,0.585581819396676,0.999708752221059
"CAALFM_C101740WA",44.7280982560204,0.0056163711372359,0.0563979801709008,0.517333436560438,0.999708752221059
"CAALFM_C101750WA",403.524161958228,0.00393406085680704,0.0558579110683734,0.713772478937457,0.999708752221059
"CAALFM_C101760WA",593.620915862336,0.00125655727334093,0.0562031053767764,0.867023718910286,0.999708752221059
"CAALFM_C101770WA",343.260721867946,-0.000961837459491985,0.0544201255530132,0.949885573220828,0.999708752221059
"CAALFM_C101780CA",598.625315600316,0.00686826182812979,0.0556780713024967,0.596168957112603,0.999708752221059
"CAALFM_C101790WA",1780.50557860638,-0.00365817643605756,0.0536910980822307,0.834056678942689,0.999708752221059
"CAALFM_C101800WA",752.702635964446,-0.00388111546940009,0.054554353369536,0.799448681678932,0.999708752221059
"CAALFM_C101810CA",1806.02548056923,0.00187344037922014,0.0565865145015658,0.629802832480223,0.999708752221059
"CAALFM_C101820CA",604.003690942026,0.00691094167406267,0.053904514627611,0.709447786101348,0.999708752221059
"CAALFM_C101830CA",1515.25025560645,0.00224985054695546,0.0563824270444887,0.723113767881419,0.999708752221059
"CAALFM_C101840CA",638.072509305812,-1.59744122852983e-05,0.056423216376599,0.992901076188485,0.999708752221059
"CAALFM_C101850CA",691.828066168166,-0.00474645518719856,0.0554628973682368,0.700884285760188,0.999708752221059
"CAALFM_C101860WA",2727.06036972923,-0.00081408237489964,0.0562811460580063,0.897443922085934,0.999708752221059
"CAALFM_C101870CA",8169.16359601994,-0.000828288209743574,0.0562603101605591,0.897767935667498,0.999708752221059
"CAALFM_C101880CA",307.74309757067,0.000986816212112607,0.0557221898268922,0.925531599181046,0.999708752221059
"CAALFM_C101890CA",1432.15753374229,0.004509834713339,0.0565369824083721,0.500840329855968,0.999708752221059
"CAALFM_C101900CA",654.428208126365,0.0129101993682674,0.0562172161700792,0.421236827952089,0.999708752221059
"CAALFM_C101910WA",2490.215180246,-8.40405566452869e-05,0.056494151063309,0.976400902536658,0.999708752221059
"CAALFM_C101920WA",791.355125407343,-0.000885704561569368,0.0560769011701588,0.903265420708884,0.999708752221059
"CAALFM_C101940CA",732.17499647289,-0.0035243791699792,0.0562435726498382,0.65791294049276,0.999708752221059
"CAALFM_C101950CA",801.901010419283,-0.00118129791581418,0.0536953750701081,0.942017524670638,0.999708752221059
"CAALFM_C101970WA",1.69000121807329,-0.000285239638937367,0.056649449941124,0.836755152707604,0.999708752221059
"CAALFM_C101980WA",207.081424421677,0.0155847420519153,0.0566704979382141,0.365180193435005,0.999708752221059
"CAALFM_C101990WA",6.05318018615283,-0.00673339970081517,0.0570703629336823,0.149575957774657,0.999708752221059
"CAALFM_C102000WA",1557.64896910606,0.00202991549975243,0.0560980239299189,0.810033409527544,0.999708752221059
"CAALFM_C102010CA",325.267822604866,0.0026742107287091,0.0549308937624792,0.847635782578285,0.999708752221059
"CAALFM_C102020WA",154.43096547731,0.0118547204162345,0.0571822194735626,0.316390022109884,0.999708752221059
"CAALFM_C102030CA",332.361033248974,0.00839751720920747,0.0559904669237124,0.518304085209101,0.999708752221059
"CAALFM_C102040CA",911.691820804988,0.000770786631664883,0.0561671365945884,0.918516349170574,0.999708752221059
"CAALFM_C102050CA",1866.0743141377,0.00454591255721488,0.0564782481896439,0.527651958472895,0.999708752221059
"CAALFM_C102060WA",1203.11652881811,0.000676863468856351,0.0564189798021699,0.904053730312952,0.999708752221059
"CAALFM_C102070WA",20.0201510540313,0.00590191991092709,0.0566791372970239,0.403000569502392,0.999708752221059
"CAALFM_C102080WA",515.603978439051,-0.000912786118044816,0.0564502450273074,0.851416014091566,0.999708752221059
"CAALFM_C102090CA",264.86322000713,-0.000882067295392039,0.0562579777009729,0.893825132199078,0.999708752221059
